event_type,event_cause,latitude,longitude,corridor,zone,police_station,junction,priority,requires_road_closure,vehicle_type,start_datetime,end_datetime
Vehicle Breakdown,Breakdown,12.9218755,77.6451585,ORR East 1,South-East Zone,HSR Layout Traffic PS,Junction near HSR Layout Traffic PS,High,False,Truck,2024-01-30 04:07:24,2024-01-30 04:17:46
Vehicle Breakdown,Breakdown,12.95398,77.5852333,Other Corridor,Central Zone,Wilson Garden Traffic PS,LalbaghMainGateJunc,Low,False,Bus,2024-01-30 04:56:32,2024-01-30 05:35:17
Other,Tree Fall,12.9233517,77.5904883,Other Corridor,Central Zone,Jayanagara Traffic PS,Junction near Jayanagara Traffic PS,Low,False,None,2024-03-07 19:39:29,2024-03-08 00:32:50
Vehicle Breakdown,Breakdown,12.9071221,77.6286395,Hosur Road,South-East Zone,Madiwala Traffic PS,Vivekananda Circle,High,False,Truck,2024-03-07 19:25:04,2024-03-07 19:52:19
Other,Tree Fall,12.9463911,77.597326,Other Corridor,Central Zone,Wilson Garden Traffic PS,Junction near Wilson Garden Traffic PS,Medium,True,None,2024-03-07 06:09:19,2024-03-07 20:12:38
Road Repair,Potholes,12.9635109,77.6642122,Other Corridor,Whitefield Zone,HAL Old Airport Traffic PS,Junction near HAL Old Airport Traffic PS,Low,False,None,2024-01-30 08:25:57,2024-01-30 08:35:01
Other,Other,12.9936273,77.5844677,Bellary Road 1,North Zone,High ground Traffic PS,Make In India Circle,Critical,True,None,2024-03-07 20:20:31,2024-03-07 22:06:56
Other,Other,13.0262806,77.5442344,Tumkur Road,West Zone,Yeshwanthpura Traffic PS,Sri Vijayamaruthi Circle,High,False,None,2024-03-07 20:27:15,2024-03-07 22:40:47
Vehicle Breakdown,Breakdown,12.9188682,77.6687736,ORR East 1,South-East Zone,Bellandur Traffic PS,Junction near Bellandur Traffic PS,High,False,Bus,2024-01-30 21:27:52,2024-01-30 22:23:24
Road Repair,Construction,12.9694079,77.7006346,ORR East 2,Whitefield Zone,HAL Old Airport Traffic PS,Junction near HAL Old Airport Traffic PS,High,False,None,2024-01-30 20:56:01,2024-01-31 09:05:46
Vehicle Breakdown,Breakdown,12.9849833,77.5883633,Bellary Road 1,North Zone,High ground Traffic PS,Chalukya Circle,High,False,Car,2024-01-30 21:47:40,2024-01-30 22:57:00
Road Repair,Road Conditions,12.9842019,77.7336286,Other Corridor,Whitefield Zone,Whitefield Traffic PS,Junction near Whitefield Traffic PS,Low,False,None,2024-01-30 21:54:56,2024-01-30 22:56:12
Vehicle Breakdown,Breakdown,12.9848257,77.7527586,Other Corridor,Whitefield Zone,Mahadevapura Traffic PS,Junction near Mahadevapura Traffic PS,Low,False,Car,2024-01-30 22:06:02,2024-01-30 22:42:27
Vehicle Breakdown,Breakdown,12.9368467,77.6928653,ORR East 1,Whitefield Zone,HAL Old Airport Traffic PS,Junction near HAL Old Airport Traffic PS,High,False,Car,2024-01-30 23:05:02,2024-01-30 23:15:33
Vehicle Breakdown,Breakdown,12.9513113,77.4994888,Other Corridor,Central Zone,Jnanabharathi Traffic PS,Ullal Junction,Low,False,Bus,2024-01-30 23:12:23,2024-01-31 00:35:36
Other,Tree Fall,12.9165983,77.583705,Other Corridor,Central Zone,J.P. Nagar Traffic PS,Junction near J.P. Nagar Traffic PS,Low,False,None,2024-03-07 20:58:06,2024-03-08 02:19:20
Vehicle Breakdown,Breakdown,12.9740913,77.5452252,West of Chord Road,Central Zone,Vijayanagara Traffic PS,Junction near Vijayanagara Traffic PS,High,False,Bus,2024-01-31 00:33:27,2024-01-31 01:17:38
Vehicle Breakdown,Breakdown,12.9740971,77.5449011,West of Chord Road,Central Zone,Vijayanagara Traffic PS,Junction near Vijayanagara Traffic PS,High,False,Bus,2024-01-31 00:36:02,2024-01-31 01:17:50
Vehicle Breakdown,Breakdown,12.9688926,77.569795,Other Corridor,Central Zone,Chamarajpet Traffic PS,Junction near Chamarajpet Traffic PS,Low,False,Auto-Rickshaw,2024-01-31 01:24:44,2024-01-31 01:50:53
Other,Other,12.9449039,77.4949618,Other Corridor,Central Zone,Jnanabharathi Traffic PS,Junction near Jnanabharathi Traffic PS,Low,False,None,2024-03-07 21:25:26,2024-03-07 21:41:19
Other,Tree Fall,12.9873133,77.6163481,Other Corridor,Central Zone,Pulikeshinagar(F.Town) Traffic PS,Junction near Pulikeshinagar(F.Town) Traffic PS,Low,False,None,2024-03-07 21:17:00,2024-03-07 23:13:49
Road Repair,Construction,12.969418,77.7006526,ORR East 2,Whitefield Zone,HAL Old Airport Traffic PS,Junction near HAL Old Airport Traffic PS,High,False,None,2024-03-07 21:23:16,2024-03-08 10:05:46
Vehicle Breakdown,Breakdown,12.8482637,77.6713737,Other Corridor,South-East Zone,Electronic City Traffic PS,Junction near Electronic City Traffic PS,Low,False,LCV,2024-01-31 02:47:16,2024-01-31 04:10:44
Vehicle Breakdown,Breakdown,12.96672,77.6093294,Mysore Road,Central Zone,Ashok Nagar Traffic PS,Mother Teresa Circle,High,False,Bus,2024-01-31 05:03:24,2024-01-31 05:56:09
Vehicle Breakdown,Breakdown,13.0253205,77.6400845,ORR North 1,Whitefield Zone,Banaswadi Traffic PS,Junction near Banaswadi Traffic PS,High,False,Bus,2024-03-07 21:35:50,2024-03-07 22:50:40
Vehicle Breakdown,Breakdown,12.9480512,77.5343585,Mysore Road,Central Zone,Byatarayanapura Traffic PS,Junction near Byatarayanapura Traffic PS,High,False,Truck,2024-01-31 04:21:01,2024-01-31 05:08:43
Other,Tree Fall,13.0078566,77.5920655,Other Corridor,Central Zone,R.T. Nagar Traffic PS,Junction near R.T. Nagar Traffic PS,Low,False,None,2024-03-07 21:47:02,2024-03-07 21:55:40
Vehicle Breakdown,Breakdown,12.9238693,77.5536044,ORR West 1,West Zone,Banashankari Traffic PS,Junction near Banashankari Traffic PS,High,False,Other,2024-01-31 05:41:26,2024-01-31 08:02:27
Road Repair,Construction,13.0331905,77.5901915,Bellary Road 1,North Zone,Hebbala Traffic PS,Junction near Hebbala Traffic PS,High,False,None,2024-03-07 22:40:56,2024-03-08 07:46:19
Other,Tree Fall,12.9392829,77.5596125,Other Corridor,Central Zone,Basavanagudi Traffic PS,Junction near Basavanagudi Traffic PS,Medium,True,None,2024-03-07 23:06:49,2024-03-08 00:08:37
Vehicle Breakdown,Breakdown,12.9614398,77.5600867,Mysore Road,Central Zone,Chamarajpet Traffic PS,Junction near Chamarajpet Traffic PS,High,False,LCV,2024-01-31 08:57:24,2024-01-31 10:39:45
Vehicle Breakdown,Breakdown,13.114305,77.60655,Bellary Road 2,North Zone,Yelahanka Traffic PS,Junction near Yelahanka Traffic PS,High,False,Truck,2024-01-31 20:34:20,2024-01-31 22:16:52
Vehicle Breakdown,Breakdown,12.9900159,77.5025425,Magadi Road,West Zone,Kamakshipalya Traffic PS,Junction near Kamakshipalya Traffic PS,High,False,Bus,2024-01-31 20:33:08,2024-01-31 22:19:37
Vehicle Breakdown,Breakdown,12.9216832,77.6199372,Hosur Road,South-East Zone,Madiwala Traffic PS,Junction near Madiwala Traffic PS,Critical,True,Truck,2024-01-31 19:45:59,2024-01-31 21:01:20
Road Repair,Potholes,13.0161873,77.7093516,Other Corridor,Whitefield Zone,K.R. Pura Traffic PS,Junction near K.R. Pura Traffic PS,Medium,True,None,2024-01-21 00:50:18,2024-01-21 06:55:31
Road Repair,Construction,12.9693576,77.7006406,ORR East 2,Whitefield Zone,HAL Old Airport Traffic PS,Junction near HAL Old Airport Traffic PS,High,False,None,2024-01-31 21:05:04,2024-02-01 09:05:46
Waterlogging,Waterlogging,12.938565,77.6979933,ORR East 1,Whitefield Zone,HAL Old Airport Traffic PS,Junction near HAL Old Airport Traffic PS,High,False,None,2024-03-07 23:17:27,2024-03-08 00:07:25
Vehicle Breakdown,Breakdown,12.9690624,77.5872736,Mysore Road,Central Zone,Halasuru Gate Traffic PS,Police Corner Junction,Critical,True,Bus,2024-03-07 23:36:30,2024-03-08 01:28:08
Vehicle Breakdown,Breakdown,12.8700974,77.6533824,Hosur Road,South-East Zone,Electronic City Traffic PS,Junction near Electronic City Traffic PS,High,False,Bus,2024-03-08 00:00:08,2024-03-08 00:52:58
